Frame Number,Timecode,adaptive_ratio (w=2),content_val,delta_edges,delta_hue,delta_lum,delta_sat
1500,00:01:02.521,1.1074014974837363,0.7750018084490741,1.016845703125,0.8739691840277778,0.6502549913194444,0.80078125
1501,00:01:02.562,1.1966556490873863,0.6645598234953703,1.2381998697916667,0.7062174479166666,0.5724283854166666,0.7150336371527778
1502,00:01:02.604,0.874726022598757,0.3951461226851852,0.9684244791666666,0.2965223524305556,0.3524305555555556,0.5364854600694444
1503,00:01:02.646,0.5908951513451087,0.2047164351851852,0.11759440104166667,0.1450466579861111,0.156005859375,0.3130967881944444
1504,00:01:02.688,0.7004565232203869,0.16266999421296297,0.2490234375,0.1067165798611111,0.1057400173611111,0.2755533854166667
1505,00:01:02.729,0.9501130210797456,0.16342954282407407,0.23518880208333334,0.10272894965277778,0.10365125868055555,0.2839084201388889
1506,00:01:02.771,1.0500551710301935,0.1656448929398148,0.0,0.09117296006944445,0.11070421006944445,0.2950575086805556
1507,00:01:02.813,0.9592099373321398,0.15501121238425927,0.13834635416666666,0.08257378472222222,0.101806640625,0.2806532118055556
1508,00:01:02.854,0.8990250979647735,0.14988425925925927,0.11067708333333333,0.10199652777777778,0.0939670138888889,0.2536892361111111
1509,00:01:02.896,1.0616714201768591,0.16745334201388887,0.055338541666666664,0.091796875,0.11314561631944445,0.2974175347222222
1510,00:01:02.938,1.1427745664739886,0.1787651909722222,0.07609049479166667,0.12188042534722222,0.11480034722222222,0.2996148003472222
1511,00:01:02.980,0.8723182000803534,0.14724392361111108,0.08992513020833333,0.07185872395833333,0.09657118055555555,0.2733018663194444
1512,00:01:03.021,0.973319861274202,0.16114185474537038,0.19368489583333334,0.12288411458333333,0.098876953125,0.2616644965277778
1513,00:01:03.063,1.0531392742644765,0.16782407407407407,0.2490234375,0.0866427951388889,0.11054144965277778,0.3062879774305556
1514,00:01:03.105,1.0107731133483489,0.16840277777777776,0.12451171875,0.11287434895833333,0.10394965277777778,0.2883843315972222
1515,00:01:03.146,0.9395245524499564,0.16063548900462962,0.4288736979166667,0.099609375,0.10682508680555555,0.2754720052083333
1516,00:01:03.188,1.0755248793499332,0.17683015046296294,0.518798828125,0.09879557291666667,0.12646484375,0.3052300347222222
1517,00:01:03.230,1.0709821871412983,0.17084418402777776,0.186767578125,0.10194227430555555,0.1125217013888889,0.2980685763888889
1518,00:01:03.272,1.0043604023658421,0.15776909722222224,0.21443684895833334,0.09193250868055555,0.09950086805555555,0.2818739149305556
