time_seconds,timecode,hue_degrees,saturation,brightness,contrast,edge_density,motion_energy,dominant_hue_family
68.0,01:08.000,219.59832763671875,0.5588598847389221,0.6586151123046875,0.15164867308003832,0.0559375,0.007189270152505446,blue
69.0,01:09.000,224.5462188720703,0.5535392165184021,0.6524642109870911,0.14091606354876457,0.036493055555555556,0.016389910130718954,blue
70.0,01:10.000,238.00437927246094,0.5556530952453613,0.6528753042221069,0.1454468257099493,0.04131944444444444,0.01622882625272331,blue
71.0,01:11.000,260.92608642578125,0.5629188418388367,0.653011679649353,0.14868390081998326,0.04626736111111111,0.02498195806100218,magenta
72.0,01:12.000,286.8472595214844,0.5744452476501465,0.6523891687393188,0.14671170410864165,0.04404513888888889,0.02616081154684096,magenta
73.0,01:13.000,162.610107421875,0.44863298535346985,0.6325085163116455,0.0989104858256266,0.02607638888888889,0.12778587962962962,green/cyan
74.0,01:14.000,165.35308837890625,0.4356970489025116,0.6391714811325073,0.11429384393701057,0.035590277777777776,0.013874046840958606,blue
75.0,01:15.000,165.66395568847656,0.4354953467845917,0.6392273902893066,0.1141778363903325,0.03550347222222222,0.0017632080610021786,blue
76.0,01:16.000,164.9036865234375,0.4371906816959381,0.6402143239974976,0.11423133221044438,0.03557291666666667,0.0021902913943355118,green/cyan
77.0,01:17.000,165.0205535888672,0.43634679913520813,0.6400216221809387,0.11405194309444058,0.03553819444444444,0.0016210511982570805,blue
78.0,01:18.000,164.0823211669922,0.4389144778251648,0.638638973236084,0.11127878828952525,0.03692708333333333,0.0027453703703703702,green/cyan
79.0,01:19.000,164.46961975097656,0.4361218810081482,0.6388978958129883,0.11127113869097795,0.03815972222222222,0.0012974537037037037,green/cyan
80.0,01:20.000,163.11090087890625,0.4413295090198517,0.6383017301559448,0.10818016034628901,0.03711805555555556,0.0032276007625272334,green/cyan
81.0,01:21.000,161.39993286132812,0.4511867165565491,0.633978009223938,0.10054850354650045,0.028680555555555556,0.008578227124183007,green/cyan
82.0,01:22.000,160.57809448242188,0.45294588804244995,0.6354838013648987,0.10060896355050145,0.030538194444444444,0.0020328159041394333,green/cyan
83.0,01:23.000,160.6051788330078,0.45293715596199036,0.6354881525039673,0.10065177272632832,0.029861111111111113,0.0010452069716775597,green/cyan
84.0,01:24.000,164.05503845214844,0.4464395046234131,0.6358525156974792,0.10374985388538563,0.03550347222222222,0.0023445669934640525,green/cyan
85.0,01:25.000,163.0674285888672,0.44909167289733887,0.6350550055503845,0.10189085856632353,0.03232638888888889,0.002275871459694989,green/cyan
86.0,01:26.000,162.8995819091797,0.4501662254333496,0.6341689825057983,0.10293904167836979,0.03326388888888889,0.004861247276688453,green/cyan
87.0,01:27.000,162.58059692382812,0.4482789635658264,0.6332224011421204,0.10155978286846387,0.031180555555555555,0.0038336056644880175,green/cyan
88.0,01:28.000,162.56146240234375,0.4482766389846802,0.6332349181175232,0.10156694196729596,0.031197916666666665,0.00016319444444444446,green/cyan
89.0,01:29.000,162.80523681640625,0.44649192690849304,0.6349496841430664,0.10494434969655639,0.03125,0.0020271650326797387,green/cyan
90.0,01:30.000,163.7571563720703,0.4441848397254944,0.6361872553825378,0.10770974125097818,0.03184027777777778,0.005817538126361656,green/cyan
91.0,01:31.000,163.96131896972656,0.4447188675403595,0.6356972455978394,0.10710247686800366,0.029965277777777778,0.01120343137254902,green/cyan
92.0,01:32.000,162.4697265625,0.4500368535518646,0.6322603225708008,0.10028157040431226,0.027604166666666666,0.004664556100217865,green/cyan
93.0,01:33.000,41.89402770996094,0.4281810224056244,0.6935920715332031,0.09278640630754567,0.021666666666666667,0.013296432461873639,orange
94.0,01:34.000,23.640832901000977,0.4257183074951172,0.7024216055870056,0.09597380685944662,0.029652777777777778,0.006603962418300654,orange
95.0,01:35.000,29.474374771118164,0.4148886799812317,0.7079278826713562,0.10891206878284042,0.034722222222222224,0.009745302287581699,orange
96.0,01:36.000,28.082603454589844,0.4157205820083618,0.70718914270401,0.10862337791859795,0.03467013888888889,0.0024908088235294115,orange
97.0,01:37.000,29.272743225097656,0.41614532470703125,0.7037067413330078,0.11039640491874869,0.034444444444444444,0.006110021786492375,orange
98.0,01:38.000,25.73895835876465,0.42262494564056396,0.7008804678916931,0.10263472167120417,0.02921875,0.006917279411764706,orange
99.0,01:39.000,25.609861373901367,0.42302054166793823,0.7005024552345276,0.10288645433995412,0.028350694444444446,0.0007580337690631808,orange
100.0,01:40.000,26.342082977294922,0.42319202423095703,0.7004417777061462,0.10339855433662885,0.028802083333333332,0.008998502178649238,orange
101.0,01:41.000,26.66604232788086,0.4236781895160675,0.700106143951416,0.1036534458604935,0.029375,0.002224468954248366,orange
102.0,01:42.000,26.641145706176758,0.42346927523612976,0.7004286050796509,0.1035864121561797,0.029392361111111112,0.0015210375816993465,orange
103.0,01:43.000,26.359895706176758,0.4212966561317444,0.7017078399658203,0.10389923343365372,0.0315625,0.011345928649237473,orange
104.0,01:44.000,26.62816047668457,0.42088782787323,0.7025524377822876,0.1064576451165491,0.0315625,0.0022815223311546838,orange
105.0,01:45.000,26.656944274902344,0.42053279280662537,0.7023993730545044,0.10464936775377981,0.032135416666666666,0.002844158496732026,orange
106.0,01:46.000,27.247777938842773,0.42330339550971985,0.7003209590911865,0.10492097962550263,0.032135416666666666,0.003565359477124183,orange
107.0,01:47.000,23.65506935119629,0.4263613224029541,0.7025043964385986,0.09518427328827386,0.026770833333333334,0.006656726579520697,orange
108.0,01:48.000,23.672327041625977,0.4264619052410126,0.7023612856864929,0.09522849267784078,0.02765625,0.0013504221132897604,orange
109.0,01:49.000,28.201736450195312,0.22928282618522644,0.7850244045257568,0.15581264171457904,0.02640625,0.1525784994553377,orange
110.0,01:50.000,33.1122932434082,0.06836336106061935,0.8493030667304993,0.09037157420234868,0.027118055555555555,0.12310913671023965,orange
111.0,01:51.000,33.14027786254883,0.06835491955280304,0.8492698669433594,0.09057808461376572,0.027100694444444445,0.0013481072984749456,orange
112.0,01:52.000,34.44927215576172,0.0683165192604065,0.8484350442886353,0.09309966844525118,0.028211805555555556,0.014307529956427015,orange
113.0,01:53.000,35.255279541015625,0.06873536854982376,0.8467294573783875,0.09834425636677314,0.029878472222222223,0.021705337690631807,orange
114.0,01:54.000,35.846561431884766,0.06941619515419006,0.8431630730628967,0.10856570770225046,0.03394097222222222,0.029247617102396515,orange
115.0,01:55.000,37.57784652709961,0.0719868615269661,0.8357929587364197,0.12836655773413255,0.04177083333333333,0.04199938725490196,orange
116.0,01:56.000,41.637325286865234,0.07880760729312897,0.8200732469558716,0.16359794246877363,0.05291666666666667,0.06891128812636166,orange
117.0,01:57.000,46.87357711791992,0.09985437244176865,0.7949444651603699,0.21178065096720877,0.058958333333333335,0.11046704793028322,yellow
118.0,01:58.000,96.48444366455078,0.2697615623474121,0.8275898098945618,0.13407811013324605,0.021996527777777778,0.1273242102396514,green/cyan
119.0,01:59.000,106.40343475341797,0.40105709433555603,0.8652970790863037,0.026631346511087922,0.0017534722222222222,0.06846432461873639,green/cyan
120.0,02:00.000,106.78364562988281,0.4031807482242584,0.8649527430534363,0.03215834757522002,0.002951388888888889,0.0025881672113289757,green/cyan
121.0,02:01.000,106.78215026855469,0.4032745063304901,0.8646023869514465,0.03298148055439962,0.003420138888888889,0.004101239106753813,green/cyan
122.0,02:02.000,107.90579986572266,0.4040694534778595,0.8588172793388367,0.05332585245001491,0.009739583333333333,0.011126089324618737,green/cyan
123.0,02:03.000,109.9722900390625,0.40815678238868713,0.862031102180481,0.06388620379572114,0.009652777777777777,0.011736179193899781,green/cyan
124.0,02:04.000,109.97246551513672,0.4081588685512543,0.8620319366455078,0.06388608557772978,0.009652777777777777,2.9275599128540307e-06,green/cyan
125.0,02:05.000,110.03507232666016,0.40760982036590576,0.8621755838394165,0.06434217713599295,0.011753472222222222,0.00030671296296296295,green/cyan
126.0,02:06.000,110.23246765136719,0.4079839289188385,0.8601945042610168,0.07234397876046086,0.01890625,0.002924632352941176,green/cyan
127.0,02:07.000,109.76079559326172,0.410818874835968,0.8596721291542053,0.0736537974332832,0.019895833333333335,0.0026102260348583877,green/cyan
128.0,02:08.000,110.24954986572266,0.40591543912887573,0.8609407544136047,0.0683623370747174,0.01628472222222222,0.002749863834422658,green/cyan
129.0,02:09.000,188.4502716064453,0.4963732361793518,0.695578396320343,0.24751761662948005,0.02998263888888889,0.23729343681917212,blue
130.0,02:10.000,316.6656188964844,0.6739718317985535,0.751674234867096,0.10697581098227399,0.03633680555555555,0.2421224128540305,red/magenta
131.0,02:11.000,331.9929504394531,0.7093197703361511,0.773632824420929,0.0652165330448585,0.01626736111111111,0.04987145969498911,red/magenta
132.0,02:12.000,330.611328125,0.7110559940338135,0.774457573890686,0.060385632346254825,0.014479166666666666,0.01852457788671024,red/magenta
133.0,02:13.000,327.8204650878906,0.7089434862136841,0.7775177955627441,0.06119933286995418,0.009756944444444445,0.01053928376906318,red/magenta
134.0,02:14.000,330.1427307128906,0.7141610980033875,0.7752593159675598,0.051169245632408385,0.009548611111111112,0.009056712962962963,red/magenta
135.0,02:15.000,330.7286376953125,0.706560492515564,0.7760571837425232,0.06860446846549094,0.0096875,0.00955446623093682,red/magenta
136.0,02:16.000,327.33074951171875,0.7166348099708557,0.7768024802207947,0.05787816222978833,0.009427083333333334,0.010672521786492374,red/magenta
137.0,02:17.000,329.10235595703125,0.7184960842132568,0.7756482362747192,0.0531346911368124,0.009965277777777778,0.012368055555555556,red/magenta
138.0,02:18.000,328.5372314453125,0.7178224921226501,0.7760330438613892,0.05450591427729438,0.0096875,0.0034436955337690633,red/magenta
139.0,02:19.000,318.1603698730469,0.724757194519043,0.7780537009239197,0.08890238770260726,0.030208333333333334,0.019701729302832243,red/magenta
140.0,02:20.000,314.0288391113281,0.722778856754303,0.780744194984436,0.08906764480497548,0.030052083333333333,0.01398066448801743,magenta
141.0,02:21.000,313.09014892578125,0.720384955406189,0.7815502285957336,0.09000746735845022,0.030833333333333334,0.01328996459694989,magenta
142.0,02:22.000,314.8418884277344,0.7174378633499146,0.7817438244819641,0.09051209994358538,0.03380208333333334,0.016558142701525055,magenta
143.0,02:23.000,316.1065979003906,0.7188833355903625,0.7796637415885925,0.09118067416795185,0.03112847222222222,0.012009531590413944,red/magenta
144.0,02:24.000,324.4642028808594,0.7187601923942566,0.7792055010795593,0.06656746434031452,0.02095486111111111,0.03949979575163399,red/magenta
145.0,02:25.000,316.2098388671875,0.7235009074211121,0.7811172008514404,0.0942977312029605,0.04522569444444444,0.01663868464052288,red/magenta
146.0,02:26.000,299.5934143066406,0.7285885810852051,0.7893646359443665,0.12124762253054304,0.07807291666666667,0.02227532679738562,magenta
147.0,02:27.000,272.19775390625,0.7020590305328369,0.8015784621238708,0.15767935985199194,0.1579861111111111,0.12352689270152505,magenta
148.0,02:28.000,265.5342712402344,0.6650815606117249,0.8038751482963562,0.1849668155210965,0.14282986111111112,0.16347937091503267,magenta
149.0,02:29.000,264.91082763671875,0.6649573445320129,0.8052691221237183,0.18966831601362583,0.1527777777777778,0.11687214052287581,magenta
150.0,02:30.000,264.8641052246094,0.6656464338302612,0.8057102560997009,0.18678241972879708,0.14498263888888888,0.09584150326797386,magenta
151.0,02:31.000,264.8320007324219,0.6635327339172363,0.8055601716041565,0.18905493218576355,0.1487673611111111,0.07540965413943355,magenta
152.0,02:32.000,262.1534423828125,0.6603295803070068,0.8084682822227478,0.1933310916663133,0.15513888888888888,0.1354217047930283,magenta
153.0,02:33.000,158.5772247314453,0.7467738389968872,0.6942049264907837,0.05582345164774854,0.010711805555555556,0.15292633442265796,green/cyan
154.0,02:34.000,158.5719451904297,0.746156632900238,0.6962482929229736,0.055386250302986585,0.011180555555555555,0.01800796568627451,green/cyan
155.0,02:35.000,158.65097045898438,0.7427477836608887,0.697304904460907,0.05941309716607987,0.01956597222222222,0.0027192265795206974,green/cyan
156.0,02:36.000,159.0515594482422,0.7389581799507141,0.6994689702987671,0.06497969205950568,0.0346875,0.004768382352941176,green/cyan
157.0,02:37.000,158.873779296875,0.7416621446609497,0.7011560797691345,0.07033493794754192,0.03449652777777778,0.004900326797385621,green/cyan
158.0,02:38.000,158.8032989501953,0.7400581240653992,0.7016990184783936,0.07088681905011708,0.035381944444444445,0.0007681100217864924,green/cyan
159.0,02:39.000,158.9189910888672,0.7407486438751221,0.7014406323432922,0.07154956658161277,0.03526041666666667,0.001213167211328976,green/cyan
160.0,02:40.000,158.84121704101562,0.7396969795227051,0.7020204663276672,0.07339976162048664,0.039184027777777776,0.001059572440087146,green/cyan
161.0,02:41.000,158.79330444335938,0.7395946383476257,0.701824426651001,0.07233290013540217,0.03954861111111111,0.0019666394335511985,green/cyan
162.0,02:42.000,158.6064910888672,0.7510542869567871,0.6950867176055908,0.053174378500917906,0.011215277777777777,0.023306440631808277,green/cyan
163.0,02:43.000,158.01148986816406,0.7537243366241455,0.6951181888580322,0.0528395542214122,0.01017361111111111,0.00545213779956427,green/cyan
164.0,02:44.000,158.51454162597656,0.7540310621261597,0.6943052411079407,0.05306290916442359,0.010625,0.0030583469498910673,green/cyan
165.0,02:45.000,158.53065490722656,0.7539445757865906,0.6958293914794922,0.051567710595642774,0.00986111111111111,0.0125796568627451,green/cyan
166.0,02:46.000,159.8996124267578,0.7479836940765381,0.6958964467048645,0.06541871430643563,0.020833333333333332,0.02413425925925926,green/cyan
167.0,02:47.000,161.5251007080078,0.7441121339797974,0.7017894983291626,0.08808451946587013,0.027743055555555556,0.03467742374727669,green/cyan
168.0,02:48.000,161.5290985107422,0.7438730001449585,0.7019059062004089,0.0882791059807269,0.028975694444444443,0.003439542483660131,green/cyan
169.0,02:49.000,161.63052368164062,0.7423379421234131,0.7022075057029724,0.0896148042524539,0.03203125,0.005303989651416123,green/cyan
170.0,02:50.000,161.47926330566406,0.7434189319610596,0.7017906904220581,0.08793368604840285,0.03173611111111111,0.0014895833333333332,green/cyan
171.0,02:51.000,173.78854370117188,0.84317547082901,0.7976400256156921,0.058070896857469426,0.01515625,0.09302913943355119,blue
172.0,02:52.000,171.7171173095703,0.8498926162719727,0.7988458275794983,0.05322054559896453,0.014149305555555556,0.018842660675381265,blue
173.0,02:53.000,170.5406951904297,0.8492261171340942,0.8000807166099548,0.04834806691445802,0.010972222222222222,0.009111315359477123,blue
174.0,02:54.000,170.76771545410156,0.8507443070411682,0.8007550239562988,0.0429269519877279,0.008940972222222222,0.003800721677559913,blue
175.0,02:55.000,170.77000427246094,0.8504107594490051,0.8007133603096008,0.043332314832828504,0.009791666666666667,0.00021874999999999998,blue
176.0,02:56.000,188.62625122070312,0.7223346829414368,0.7821455597877502,0.16926235044332424,0.026006944444444444,0.07161655773420479,blue
177.0,02:57.000,188.66419982910156,0.7228994369506836,0.7822218537330627,0.16984418651417227,0.026024305555555554,0.0028289079520697168,blue
178.0,02:58.000,188.68600463867188,0.7229085564613342,0.782225489616394,0.16984500112607548,0.026024305555555554,3.94880174291939e-06,blue
179.0,02:59.000,187.21714782714844,0.7362834811210632,0.7814943194389343,0.16273234085876975,0.025086805555555557,0.015916053921568626,blue
180.0,03:00.000,174.28750610351562,0.8470315933227539,0.796667754650116,0.04318535142126041,0.010572916666666666,0.06875748910675382,blue
181.0,03:01.000,174.26513671875,0.8498175144195557,0.7964251041412354,0.03952846288111057,0.009097222222222222,0.007851375272331155,blue
182.0,03:02.000,174.13999938964844,0.851772665977478,0.796726644039154,0.0333160077504847,0.0072048611111111115,0.007645561002178649,blue
183.0,03:03.000,174.0666961669922,0.851914644241333,0.7968288660049438,0.03127989177252768,0.009236111111111112,0.00429922385620915,blue
184.0,03:04.000,174.05198669433594,0.8514744639396667,0.796901524066925,0.031536915695403366,0.011284722222222222,0.0033252995642701526,blue
185.0,03:05.000,174.05506896972656,0.8512667417526245,0.7969462275505066,0.03182518113677344,0.01203125,0.0001696623093681917,blue
186.0,03:06.000,174.05506896972656,0.8512667417526245,0.7969462275505066,0.03182518113677344,0.01203125,0.0,blue
187.0,03:07.000,174.0504150390625,0.8512153625488281,0.7968858480453491,0.03195421153684475,0.012118055555555556,0.0020033360566448803,blue
188.0,03:08.000,174.0611114501953,0.8511776924133301,0.7968143224716187,0.031869023230249344,0.011927083333333333,0.00011778322440087147,blue
