Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
5618,00:03:54.276,0.05760814525462963,0.013834635416666666,0.021755642361111112,0.0942654079861111,0.056803385416666664
5619,00:03:54.317,0.056884765625,0.062255859375,0.024061414930555556,0.1032986111111111,0.043294270833333336
5620,00:03:54.359,0.06267180266203703,0.006917317708333333,0.024142795138888888,0.1154513888888889,0.048421223958333336
5621,00:03:54.401,0.0816062644675926,0.0,0.029975043402777776,0.1650390625,0.0498046875
5622,00:03:54.443,0.0975929542824074,0.0,0.036322699652777776,0.19151475694444445,0.06494140625
5623,00:03:54.484,0.006591796875,0.0,0.0016004774305555555,0.008165147569444444,0.010009765625
5624,00:03:54.526,0.006564670138888888,0.0,0.00043402777777777775,0.01025390625,0.009006076388888888
5625,00:03:54.568,0.008879484953703705,0.0,0.00021701388888888888,0.012830946180555556,0.013590494791666666
5626,00:03:54.609,0.007939091435185184,0.0,0.00021701388888888888,0.012315538194444444,0.011284722222222222
5627,00:03:54.651,0.003987630208333333,0.0,0.00048828125,0.007107204861111111,0.004367404513888889
5628,00:03:54.693,0.008969907407407407,0.0,0.0016004774305555555,0.012125651041666666,0.01318359375
5629,00:03:54.734,0.008147063078703705,0.0,0.0020616319444444445,0.012885199652777778,0.009494357638888888
5630,00:03:54.776,0.006637008101851852,0.0,0.00018988715277777778,0.011284722222222222,0.008436414930555556
5631,00:03:54.818,0.004891854745370371,0.0,0.00035264756944444444,0.007297092013888889,0.007025824652777778
5632,00:03:54.860,0.010082103587962963,0.0,0.0010850694444444445,0.015380859375,0.013780381944444444
5633,00:03:54.901,0.005796079282407408,0.0,0.00029839409722222225,0.009847005208333334,0.007242838541666667
5634,00:03:54.943,0.009964554398148149,0.04150390625,0.001708984375,0.010877821180555556,0.017306857638888888
5635,00:03:54.985,0.018274377893518517,0.04150390625,0.0015462239583333333,0.020670572916666668,0.03260633680555555
5636,00:03:55.026,0.017252604166666668,0.103759765625,0.004855685763888889,0.019097222222222224,0.027804904513888888
5637,00:03:55.068,0.019820601851851853,0.06917317708333333,0.004557291666666667,0.024468315972222224,0.030436197916666668
5638,00:03:55.110,0.01294849537037037,0.13834635416666666,0.0038248697916666665,0.018717447916666668,0.016303168402777776
5639,00:03:55.152,0.14698169849537038,0.0830078125,0.058919270833333336,0.18636067708333334,0.19566514756944445
5640,00:03:55.193,0.2970829716435185,0.2628580729166667,0.11046006944444445,0.5048556857638888,0.2759331597222222
5641,00:03:55.235,0.39593279803240744,0.3873697916666667,0.13924153645833334,0.7251247829861112,0.3234320746527778
5642,00:03:55.277,0.44123444733796297,0.498046875,0.1569281684027778,0.8448079427083334,0.3219672309027778
5643,00:03:55.318,0.46612774884259256,0.6640625,0.1575249565972222,0.9030490451388888,0.3378092447916667
5644,00:03:55.360,0.39093243634259256,0.8854166666666666,0.1260036892361111,0.7373860677083334,0.3094075520833333
5645,00:03:55.402,0.36164460358796297,0.9891764322916666,0.11531575520833333,0.7315266927083334,0.2380913628472222
5646,00:03:55.444,0.31013093171296297,1.4872233072916667,0.09003363715277778,0.6332736545138888,0.2070855034722222
5647,00:03:55.485,0.18288845486111113,1.680908203125,0.046196831597222224,0.3822970920138889,0.12017144097222222
5648,00:03:55.527,0.05928096064814814,0.7954915364583334,0.014729817708333334,0.10847981770833333,0.054633246527777776
5649,00:03:55.569,0.0536205150462963,0.6363932291666666,0.014865451388888888,0.0971408420138889,0.04885525173611111
5650,00:03:55.610,0.048999927662037035,0.5810546875,0.015625,0.08658854166666667,0.04478624131944445
5651,00:03:55.652,0.04471390335648148,0.435791015625,0.009874131944444444,0.09198676215277778,0.032280815972222224
5652,00:03:55.694,0.03874602141203704,0.4842122395833333,0.008734809027777778,0.07731119791666667,0.030192057291666668
5653,00:03:55.735,0.03559027777777778,0.6640625,0.009412977430555556,0.0729709201388889,0.024386935763888888
5654,00:03:55.777,0.06563765914351853,0.601806640625,0.021267361111111112,0.11124674479166667,0.06439887152777778
5655,00:03:55.819,0.24142795138888892,1.1067708333333333,0.07221137152777778,0.4171278211805556,0.23494466145833334
